Амоксициллин Сандоз таблетки п.п.о. 1г 12 шт.,Здравсити (Нижегородская область),170.00,
Амоксициллин Сандоз таб.п.п.о.1г №12,"Озерки площадь Маршала Жукова, 1А",150.00,1
Амоксициллин Сандоз таб.п.п.о.1г №12,"Озерки проспект Октября, 2А",150.00,1
Амоксициллин Сандоз таб.п.п.о.1г №12,"Озерки улица Коминтерна, 168",150.00,1
Амоксициллин Сандоз таб.п.п.о.1г №12,"Озерки улица Родионова, 17",150.00,2
Амоксициллин Сандоз таб.п.п.о.1г №12,"Озерки Комсомольская площадь, 6к1",156.00,1
Амоксициллин Сандоз таб.п.п.о.1г №12,"Озерки Южное шоссе, 28к1",150.00,1
Амоксициллин Сандоз таб.п.п.о.1г №12,"Озерки улица Ванеева, 30",156.00,1
Амоксициллин Сандоз таб.п.п.о.1г №12,"Озерки Московское шоссе, 126",156.00,2
Амоксициллин Сандоз таб.п.п.о.1г №12,"Озерки Берёзовская улица, 83",164.00,1
Амоксициллин Сандоз таб.п.п.о.1г №12,"Озерки улица Политбойцов, 12",156.00,4
Амоксициллин Сандоз таб.п.п.о.1г №12,"Озерки проспект Кораблестроителей, 15",164.00,1
Амоксициллин Сандоз таб.п.п.о.1г №12,"Озерки проспект Октября, 19",164.00,1
Амоксициллин Сандоз таб.п.п.о.1г №12,"Озерки улица Чаадаева, 31",164.00,1
Амоксициллин Сандоз таб.п.п.о.1г №12,"Озерки у дома Дзержинск, проспект Ленина, 85",164.00,1
Амоксициллин Сандоз таб.п.п.о.1г №12,"Озерки у дома Алексеевская улица, 4",164.00,1
Амоксициллин Сандоз таб.п.п.о.1г №12,"Озерки у дома Ильинская улица, 53/2",164.00,1
Амоксициллин Сандоз таб.п.п.о.1г №12,"Озерки у дома Коломенская улица, 6",164.00,4
Амоксициллин Сандоз таб.п.п.о.1г №12,"Озерки у дома проспект Гагарина, 110",164.00,2
Амоксициллин Сандоз таб.п.п.о.1г №12,"Озерки у дома улица Коминтерна, 105",164.00,1
Амоксициллин Сандоз таб.п.п.о.1г №12,"Озерки у дома улица Максима Горького, 149А",164.00,1
Амоксициллин Сандоз таб.п.п.о.1г №12,"Озерки у дома улица Ногина, 7",164.00,1
Амоксициллин Сандоз таб.п.п.о.1г №12,"Озерки у дома улица Родионова, 165к13",164.00,6
Амоксициллин Сандоз таб.п.п.о.1г №12,"Радуга проспект Ленина, 113",164.00,1
"Амоксициллин Сандоз, тбл п/о 1г №12","813 аптека Farmani г. Н.Новгород, ул. Горького, д. 154",170.80,
"Амоксициллин Сандоз, тбл п/о 1г №12","1002 аптека Farmani г. Н. Новгород, ул. Родионова, д.197",171.40,
Амоксициллин Сандоз таб.п.п.о.1г №12,"Озерки у дома улица Академика Лебедева, 2",164.00,2
"Амоксициллин Сандоз, тбл п/о 1г №12","55 аптечный пункт Farmani (ТЦ НЕБО) г.Н.Новгород, ул.Б.Покровская, д.82",175.10,
"Амоксициллин Сандоз, тбл п/о 1г №12","1218 аптечный пункт Farmani г. Н.Новгород, пр-т Молодежный, д. 2А",172.90,
,,,
"Вигамокс капли глазные 0,5% 5мл",Здравсити (Башкортостан),223.00,
ВИГАМОКС 0.5% 5МЛ КАПЛИ ГЛАЗН. №1 ФЛ.,Фармленд №10 ул.Вологодская д.34,204.00,6
ВИГАМОКС 0.5% 5МЛ КАПЛИ ГЛАЗН. №1 ФЛ.,Фармленд №184 ул.50 лет СССР д.50,204.00,2
ВИГАМОКС 0.5% 5МЛ КАПЛИ ГЛАЗН. №1 ФЛ.,"Фармленд №100 ул. Транспортная, 46",223.00,1
ВИГАМОКС 0.5% 5МЛ КАПЛИ ГЛАЗН. №1 ФЛ.,"Фармленд №300 ул. Шафиева, 28",204.00,3
ВИГАМОКС 0.5% 5МЛ КАПЛИ ГЛАЗН. №1 ФЛ.,Фармленд №350 ул.Дагестанская д.21,230.99,2
ВИГАМОКС 0.5% 5МЛ КАПЛИ ГЛАЗН. №1 ФЛ.,Фармленд №350 ул.Дагестанская д.21,236.68,1
ВИГАМОКС 0.5% 5МЛ КАПЛИ ГЛАЗН. №1 ФЛ.,Фармленд №205 ул.Ахметова д.297,236.67,1
ВИГАМОКС 0.5% 5МЛ КАПЛИ ГЛАЗН. №1 ФЛ.,Фармленд №205 ул.Ахметова д.297,240.66,6
ВИГАМОКС 0.5% 5МЛ КАПЛИ ГЛАЗН. №1 ФЛ.,Аптека Фармленд №951 ул.Романтиков д.1,240.66,4
ВИГАМОКС 0.5% 5МЛ КАПЛИ ГЛАЗН. №1 ФЛ.,"Фармленд №103 ул. А. Королева, 2",240.66,1
ВИГАМОКС 0.5% 5МЛ КАПЛИ ГЛАЗН. №1 ФЛ.,Фармленд №112 ул.Коммунистическая д.45,240.66,2
ВИГАМОКС 0.5% 5МЛ КАПЛИ ГЛАЗН. №1 ФЛ.,"Фармленд №125 ул. Мубарякова, 10/1",240.66,9
ВИГАМОКС 0.5% 5МЛ КАПЛИ ГЛАЗН. №1 ФЛ.,"Фармленд №128 ул. З. Валиди, 58",240.66,2
ВИГАМОКС 0.5% 5МЛ КАПЛИ ГЛАЗН. №1 ФЛ.,"Фармленд №175 ул. С. Перовской, 52/2",240.66,2
ВИГАМОКС 0.5% 5МЛ КАПЛИ ГЛАЗН. №1 ФЛ.,Фармленд №23 пр.Октября 11,240.66,2
