mail.ru,mail.ru/,Почта Mail.Ru,4570274,66
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,3897628,81
Lenta,lenta.ru,Lenta.Ru,2842927,80
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,2262911,84
hsdigital,www.hsdigital.ru/,Hearst Shkulev Digital,2262482,79
kp,kp.ru,Комсомольская правда-Digital,2093006,70
mic_izvestia,iz.ru,Известия,1897783,81
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,1851407,76
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",1684112,81
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,1485127,85
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,1417859,82
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Hearst Shkulev Media,1382041,74
russian.rt.com,russian.rt.com/,RT на русском,1368878,78
rg.ru,rg.ru/,Российская Газета: издание Правительства РФ,1276845,87
TASS_total,tass.ru,ТАСС - Новости в России и мире,1166290,84
kommersant.ru,www.kommersant.ru/,&quot;Коммерсантъ&quot;. Издательский дом,1076928,88
go.mail.ru,go.mail.ru/,Поиск Mail.Ru,1063384,75
drom,www.drom.ru,"Drom.ru - продажа автомобилей, отзывы, форумы, каталоги",1041382,88
vkontakte.ru,vkontakte.ru/,ВКонтакте.ру,914585,80
ren.tv,ren.tv/,Новости - наше призвание. РЕН ТВ,840790,81
vesti.ru,vesti.ru/,Информационный канал &quot;Вести&quot;,754184,78
echo.msk.ru,www.echo.msk.ru/,Эхо Москвы,747202,79
ura.ru,ura.ru/,URA.Ru - Российское информационное агентство,745346,92
smi2.ru,smi2.ru/,СМИ2 - Новостной агрегатор и новостная обменная сеть,714077,76
Lentainform,lentainform.com/,Lentainform.com - Эффективная система рекомендации контента,707013,65
hsdigital/rn/smi,news.ngs.ru,Сеть городских порталов Hearst Shkulev Digital — НОВОСТИ,588983,93
AIF,www.aif.ru,"Аргументы и Факты //  Объясняем, что происходит",562248,69
HeadHunter,hh.ru/,HeadHunter Group - Online Hiring Services,555258,72
